N_iters f_trunc_cg f_trunc_approx_cg f_trunc_trm f_trunc_approx_trm
290 1.524436964705933e-06 1.4806885182200712e-06 1.1701392656948362e-06 1.1883912008045235e-06
295 1.5234407207043939e-06 1.4806885182200712e-06 1.1682553584952713e-06 1.1873166347547316e-06
300 1.522189198026023e-06 1.4806885182200712e-06 1.168131188515284e-06 1.1871040381878984e-06
305 1.5212076325621615e-06 1.4806885182200712e-06 1.1677894873272596e-06 1.1863740410791105e-06
310 1.5200066253844454e-06 1.4806885182200712e-06 1.1672702024380324e-06 1.1849925670211986e-06
315 1.519073346051872e-06 1.4806885182200712e-06 1.1671168339763423e-06 1.1840555033494948e-06
320 1.517920801422917e-06 1.4806885182200712e-06 1.1662115068563168e-06 1.183541458675629e-06
325 1.517022889645703e-06 1.4806885182200712e-06 1.1661082499246245e-06 1.1832721190619926e-06
330 1.515920633950176e-06 1.4806885182200712e-06 1.1640107189933008e-06 1.182726099775512e-06
335 1.5147883093245726e-06 1.4806885182200712e-06 1.1637116922173925e-06 1.1805419672993023e-06
340 1.5137057360733635e-06 1.4806885182200712e-06 1.1600646121234443e-06 1.1797555739766673e-06
345 1.5128593129629013e-06 1.4806885182200712e-06 1.1599204619908696e-06 1.1795543232127187e-06
350 1.5118410186150774e-06 1.4806885182200712e-06 1.1597553583376002e-06 1.1794030465863248e-06
355 1.5107717404359884e-06 1.4806885182200712e-06 1.1596871181085498e-06 1.1792636021033475e-06
360 1.509773149771018e-06 1.4806885182200712e-06 1.1596390912727877e-06 1.1789439290101657e-06
365 1.5090502880038965e-06 1.4806885182200712e-06 1.1594560261759993e-06 1.1784594619637465e-06
370 1.5077785497267913e-06 1.4806885182200712e-06 1.1589575156757531e-06 1.1779401851662355e-06
375 1.5070116063517794e-06 1.4806885182200712e-06 1.1582275713025364e-06 1.1776955571542426e-06
380 1.5058747929683453e-06 1.4806885182200712e-06 1.1567766250545643e-06 1.1775695940396407e-06
385 1.5050985949156777e-06 1.4806885182200712e-06 1.1567115525654007e-06 1.1772103725440275e-06
390 1.5040152300402213e-06 1.4806885182200712e-06 1.1537473764036957e-06 1.176898707780522e-06
395 1.5032580232452895e-06 1.4806885182200712e-06 1.1534519755393192e-06 1.176519159921743e-06
400 1.5022209440016315e-06 1.4806885182200712e-06 1.153092105707081e-06 1.1757235111998528e-06
405 1.5014894504376617e-06 1.4806885182200712e-06 1.1527821984670874e-06 1.1754596717221826e-06
410 1.5004605630544376e-06 1.4806885182200712e-06 1.152657808048537e-06 1.1741847787529176e-06
415 1.4998300979697003e-06 1.4806885182200712e-06 1.1524767621426005e-06 1.1732351142170481e-06
