N_iters f_Renyi_cg f_Renyi_approx_cg f_Renyi_trm f_Renyi_approx_trm
150 0.3556261133549305 0.35633943731222806 0.35417516572189767 0.3555676922799914
155 0.35561987556967795 0.35633943731222806 0.3541728372930947 0.3555676922799914
160 0.35559842088262017 0.35633943731222806 0.35415159197366075 0.3555676922799914
165 0.3555863555150799 0.35633943731222806 0.35414158404319507 0.3555676922799914
170 0.35557879596621805 0.35633943731222806 0.3541393499649427 0.3555676922799914
175 0.35557244597129833 0.35633943731222806 0.35413528513045195 0.3555676922799914
180 0.35557071129862794 0.35633943731222806 0.35412401384199305 0.3555676922799914
185 0.35556691798415335 0.35633943731222806 0.35412220788341103 0.3555676922799914
190 0.3554082735638566 0.35633943731222806 0.3541099416800547 0.3555676922799914
195 0.3553935624241086 0.35633943731222806 0.3541074995802527 0.3555676922799914
200 0.35538795147888913 0.35633943731222806 0.35410467444523486 0.3555676922799914
205 0.35538161574692717 0.35633943731222806 0.3541004479689585 0.3555676922799914
210 0.35537660861377035 0.35633943731222806 0.3540944591779073 0.3555676922799914
215 0.35535274612224643 0.35633943731222806 0.35408666803346733 0.3555676922799914
220 0.3551904585841251 0.35633943731222806 0.35408081734991387 0.3555676922799914
225 0.35514156042681627 0.35633943731222806 0.35407951938479854 0.3555676922799914
230 0.3551355259264889 0.35633943731222806 0.3540758214781785 0.3555676922799914
235 0.35513200504146347 0.35633943731222806 0.3540665575985956 0.3555676922799914
240 0.35512926495979996 0.35633943731222806 0.35405053922650453 0.3555676922799914
245 0.3551255116418079 0.35633943731222806 0.35404567507845075 0.3555676922799914
250 0.35512246903780803 0.35633943731222806 0.3540186846168776 0.3555676922799914
255 0.35512112193883266 0.35633943731222806 0.3540172313773782 0.3555676922799914
260 0.35512036078344716 0.35633943731222806 0.3540036767991023 0.3555676922799914
265 0.3551191656480598 0.35633943731222806 0.35399916175085683 0.3555676922799914
270 0.355118141177318 0.35633943731222806 0.3539915811326871 0.3555676922799914
275 0.3548409780712666 0.35633943731222806 0.35398738687427606 0.3555676922799914
280 0.3546957283829251 0.35633943731222806 0.3539851833628016 0.3555676922799914
285 0.35466478598268303 0.35633943731222806 0.35398117711868 0.3555676922799914
290 0.3545887207135371 0.35633943731222806 0.35398059334574605 0.3555676922799914
295 0.3545779981259619 0.35633943731222806 0.35397472432855204 0.3555676922799914
300 0.3545725372992292 0.35633943731222806 0.35396651764970016 0.3555676922799914
305 0.35457008064818324 0.35633943731222806 0.35395668623670407 0.3555676922799914
310 0.3545664126190958 0.35633943731222806 0.353946968916674 0.3555676922799914
315 0.35456162334293884 0.35633943731222806 0.35391166130834645 0.3555676922799914
320 0.3545566065708996 0.35633943731222806 0.35390751999035586 0.3555676922799914
325 0.35455498708555927 0.35633943731222806 0.3538590496355928 0.3555676922799914
330 0.3545482090302485 0.35633943731222806 0.3538319059854106 0.3555676922799914
335 0.3545445309791011 0.35633943731222806 0.3537398884606712 0.3555676922799914
340 0.35454205426485336 0.35633943731222806 0.3537201928244891 0.3555676922799914
345 0.354541173500668 0.35633943731222806 0.35371863366139583 0.3555676922799914
350 0.3545401188204934 0.35633943731222806 0.35371344079961764 0.3555676922799914
355 0.35453731834617036 0.35633943731222806 0.35371112824361906 0.3555676922799914
360 0.3545334986007126 0.35633943731222806 0.35371039040490404 0.3555676922799914
365 0.35453123683633797 0.35633943731222806 0.3537091818193899 0.3555676922799914
370 0.3545295267456635 0.35633943731222806 0.35370760065338896 0.3555676922799914
375 0.35452776069786834 0.35633943731222806 0.353704457321872 0.3555676922799914
380 0.3545259767909938 0.35633943731222806 0.3536956152886383 0.3555676922799914
385 0.3545223263318397 0.35633943731222806 0.3536943541039015 0.3555676922799914
390 0.3545216422148267 0.35633943731222806 0.35368409527817496 0.3555676922799914
395 0.3545206141499312 0.35633943731222806 0.3536602400533824 0.3555676922799914
400 0.35452026989821184 0.35633943731222806 0.35365481872017496 0.3555676922799914
405 0.3545137583291709 0.35633943731222806 0.35365033085120734 0.3555676922799914
410 0.35451195415753517 0.35633943731222806 0.3536188087203186 0.3555676922799914
415 0.3545106919063942 0.35633943731222806 0.35357191624239803 0.3555676922799914
420 0.3545038229469159 0.35633943731222806 0.3535675456204404 0.3555676922799914
425 0.35450326977153696 0.35633943731222806 0.35355402427889826 0.3555676922799914
430 0.35450233200778297 0.35633943731222806 0.3535528136897741 0.3555676922799914
435 0.3545016519099526 0.35633943731222806 0.35355000294380695 0.3555676922799914
440 0.3545005763135859 0.35633943731222806 0.3535457400422442 0.3555676922799914
445 0.3544999965121602 0.35633943731222806 0.35354226725451726 0.3555676922799914
450 0.35449952828458947 0.35633943731222806 0.3535336191406167 0.3555676922799914
455 0.35448068153698964 0.35633943731222806 0.35353217057608033 0.3555676922799914
460 0.3544183089235187 0.35633943731222806 0.3535259176415774 0.3555676922799914
465 0.35438364187833404 0.35633943731222806 0.35352588538955293 0.3555676922799914
470 0.35438132376076986 0.35633943731222806 0.3535255266571563 0.3555676922799914
475 0.354380963217459 0.35633943731222806 0.35352494542690927 0.3555676922799914
480 0.35438089669390016 0.35633943731222806 0.3535233720598744 0.3555676922799914
485 0.3543807866450361 0.35633943731222806 0.35351898731551695 0.3555676922799914
490 0.35438057758223324 0.35633943731222806 0.3535156235899452 0.3555676922799914
495 0.35437869699946695 0.35633943731222806 0.35351358479636336 0.3555676922799914
500 0.35437716740723524 0.35633943731222806 0.35350965826425795 0.3555676922799914
505 0.3543769678631824 0.35633943731222806 0.35350715699584934 0.3555676922799914
510 0.35437610656225316 0.35633943731222806 0.353506565298237 0.3555676922799914
515 0.35437597324941134 0.35633943731222806 0.3535059510285256 0.3555676922799914
520 0.3543751940651054 0.35633943731222806 0.3535047450824154 0.3555676922799914
525 0.3543732644421337 0.35633943731222806 0.3535030842796748 0.3555676922799914
530 0.3543697629279828 0.35633943731222806 0.35350033348727916 0.3555676922799914
535 0.35436788204706426 0.35633943731222806 0.3534972545450585 0.3555676922799914
540 0.3543665384380488 0.35633943731222806 0.35349699749710567 0.3555676922799914
545 0.35436615535507654 0.35633943731222806 0.3534824225924872 0.3555676922799914
550 0.3543660290803811 0.35633943731222806 0.35347246705085494 0.3555676922799914
555 0.354365586389889 0.35633943731222806 0.3534660391143832 0.3555676922799914
560 0.35436539218673624 0.35633943731222806 0.35346420143511215 0.3555676922799914
565 0.3543652242508708 0.35633943731222806 0.3534631401027517 0.3555676922799914
570 0.35436498783247244 0.35633943731222806 0.3534606585376206 0.3555676922799914
575 0.35436466162166574 0.35633943731222806 0.3534568330939816 0.3555676922799914
580 0.35436461072906866 0.35633943731222806 0.3534546097400536 0.3555676922799914
585 0.3543643109701601 0.35633943731222806 0.3534544848500132 0.3555676922799914
590 0.35436415914000635 0.35633943731222806 0.35345403531229397 0.3555676922799914
595 0.3543641130755377 0.35633943731222806 0.35345314659737465 0.3555676922799914
600 0.35436406067122506 0.35633943731222806 0.35345147790749765 0.3555676922799914
