t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256 sz_chi_512 sz_chi_1024
0.41000000000000003 0.8641205862132684 0.8501226428054045 0.8329623184627905 0.8236015008636232 0.8162382904297474 0.8139034678998779 0.8134804200913107
0.42 0.8648646080233714 0.8513588891950545 0.8342360171963022 0.8244279414989694 0.8167490220322393 0.8142678548343869 0.8137951586700315
0.43 0.8652835759860981 0.8522548715225068 0.8351826292596682 0.8249469192169779 0.8170123734169081 0.814402107086575 0.8138786590390853
0.44 0.8653900897019459 0.8528177725315453 0.835802600547098 0.8251712515786902 0.8170476011459445 0.8143277823558883 0.8137528392592195
0.45 0.8652050224718895 0.85306365105156 0.8361085228482245 0.8251255275519873 0.8168840228903752 0.814075895370686 0.8134490081151299
0.46 0.8647574240250063 0.8530170731051502 0.8361243238955434 0.8248445526242484 0.8165592224590859 0.8136850898738931 0.8130060214219884
0.47000000000000003 0.8640841409678148 0.8527105448029072 0.8358839660694259 0.8243714832277211 0.8161170974637459 0.8131996492475025 0.8124682726965028
0.48 0.8632289569380307 0.8521836201526516 0.83542975329819 0.8237557809663495 0.8156058112942274 0.812667417524249 0.8118835953360104
0.49 0.8622413094956798 0.851481681854043 0.8348103938815561 0.8230510795637341 0.8150757112050473 0.8121377016182464 0.8113011554704095
0.5 0.8611747238560683 0.8506544775438245 0.834078953230394 0.8223130088924789 0.814577276927769 0.8116592253912064 0.8107694068641427
0.51 0.8600850843885347 0.8497545133972898 0.8332907798841267 0.8215970517521133 0.8141591614109538 0.8112781991676599 0.8103341723242534
0.52 0.8590288376193711 0.8488353884690407 0.8325014682381342 0.8209565338972142 0.813866385155779 0.8110365627850266 0.8100369099432956
0.53 0.8580612061666413 0.8479501282813031 0.8317649244305324 0.8204408163813209 0.813738741464569 0.8109704576975497 0.8099132133306185
0.54 0.8572344813468892 0.8471495597932516 0.8311315934861757 0.820093716783984 0.8138094554210544 0.8111089759088516 0.8099915863245887
0.55 0.8565964486270345 0.8464807783990381 0.8306468868352512 0.8199521786187228 0.8141041245686913 0.8114732191420917 0.8102925236389122
0.56 0.8561889887536281 0.8459857726945959 0.830349837515161 0.8200452211669635 0.8146399595206025 0.8120756859088265 0.8108279174725165
0.5700000000000001 0.8560468919116481 0.8457002639713526 0.8302720099420393 0.8203932019790515 0.8154253357419907 0.8129199901798888 0.8116007968973589
0.58 0.8561969195484801 0.8456527884687809 0.8304366914943058 0.8210074082050093 0.8164596619546349 0.8140009040704371 0.8126053941529672
0.59 0.8566571428283005 0.8458640256000356 0.8308583856218423 0.821889972993299 0.8177335634538253 0.8153047088867129 0.8138275213701797
0.6 0.8574365760592315 0.8463463673697167 0.8315426124223089 0.823034097297447 0.8192293686029755 0.8168098320236192 0.8152452320840111
0.61 0.8585351100718315 0.8471037246107671 0.8324860082311065 0.8244245474759165 0.8209218768083655 0.8184877394057908 0.8168297342120314
0.62 0.859943737381069 0.8481315651677778 0.8336767034902529 0.8260383937484932 0.8227793775683095 0.820304045542796 0.8185465153045438
0.63 0.8616450483331535 0.8494171775423184 0.835094947881517 0.8278459514780672 0.8247648771314025 0.8222197968453222 0.8203566352916339
0.64 0.8636139652840484 0.8509401512319211 0.8367139433405641 0.8298118843265347 0.8268374711006157 0.8241928784375024 0.822218136589921
0.65 0.8658186728136934 0.8526730615088656 0.8385008410635807 0.8318964256399277 0.8289537906961255 0.8261794916870203 0.8240875195994981
0.66 0.8682216967253135 0.8545823416403057 0.8404178622809942 0.83405667503993 0.8310694582413156 0.8281356486233853 0.8259212345408956
0.67 0.8707810823660682 0.8566293185716272 0.8424235170033423 0.8362479328465237 0.8331405074299406 0.8300186289640689 0.8276771428062931
0.68 0.8734516251523416 0.8587713800049077 0.844473911094837 0.8384250398785639 0.8351247393580403 0.8317883494030084 0.8293159002927333
0.6900000000000001 0.8761861143406927 0.860963235163662 0.8465241271719883 0.8405436885264458 0.8369829884013811 0.8334086044818514 0.8308022180331254
