t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256
0.2 0.9695123304139774 0.9675066526830286 0.9666471224642844 0.9662219734385059 0.9661481614805755
0.21 0.9739468440689449 0.9719698777837377 0.9709266280148557 0.9704488458496056 0.9703614438448632
0.22 0.9779525465446358 0.9759676312930966 0.9747189670012396 0.9742019479373679 0.9741030277662545
0.23 0.9813596812764696 0.9792626083467854 0.9778326858834235 0.9772937724221109 0.9771867497629194
0.24 0.9840018376831086 0.9817029014778875 0.9801361640107825 0.9795960738077211 0.9794852896331272
0.25 0.9857356421498586 0.9832015945535675 0.9815627885368353 0.9810440768502906 0.9809344519714253
0.26 0.9864917638819408 0.9837492576298937 0.9821103890464696 0.9816356066935226 0.9815323284512941
0.27 0.9862771745062187 0.9833987526416589 0.9818361353453278 0.9814257213887292 0.9813337620196297
0.28 0.9851723211183777 0.9822608814404639 0.9808472160005025 0.9805172541783096 0.9804409041492776
0.29 0.9833183832975423 0.9804907024519944 0.9792877831768974 0.9790483946178691 0.9789908110739121
0.3 0.9808991495718185 0.9782718173164089 0.9773243512659867 0.9771785304034047 0.9771413335316547
0.31 0.9781221146482902 0.9757989951381472 0.9751305751074469 0.9750735709084887 0.9750565185588567
0.32 0.9751995592860162 0.9732600424320936 0.9728727112611009 0.9728919403836812 0.9728927858757485
0.33 0.9723318449584848 0.9708246893478337 0.970696986009959 0.9707724835776558 0.9707869733774273
0.34 0.9696931696727217 0.9686322357757039 0.9687197128460223 0.9688250159325321 0.9688470510784999
0.35000000000000003 0.9674204077521397 0.9667822125514016 0.9670207112008392 0.9671241310004283 0.967146032897209
0.36 0.9656056879679943 0.9653302194859112 0.9656402772309796 0.9657063987594219 0.9657194070598301
0.37 0.96429301892195 0.9642875797311957 0.9645796165335704 0.9645711124777369 0.9645660477232325
0.38 0.9634789987771911 0.963624584587244 0.9638043573819167 0.9636851132938622 0.9636524634792275
0.39 0.9631173955543102 0.9632771864767344 0.9632512726086019 0.9629888322103034 0.9629195012955764
0.4 0.9631269082583059 0.963156254535552 0.9628377548889343 0.9624046153975926 0.9622911077590665
0.41000000000000003 0.9634018510549319 0.9631579338411149 0.9624714781899721 0.9618473956497849 0.9616843432568914
0.42 0.9638243199893771 0.963173028535218 0.9620586741263485 0.9612348608979374 0.961019357589867
0.43 0.9642759700347596 0.9630955999759429 0.961516080437209 0.9604962820677636 0.9602284606034466
0.44 0.9646483417934532 0.9628344846145171 0.9607817012578552 0.9595805817998009 0.9592635246405956
0.45 0.9648502338967595 0.9623225343145382 0.9598185503515276 0.9584617595151166 0.9581011878489932
0.46 0.9648134708987428 0.9615223644120579 0.9586194262686384 0.9571415245996351 0.9567454193369257
0.47000000000000003 0.9644967170677549 0.9604310947355279 0.9572079930034743 0.9556491927406489 0.9552272259047772
0.48 0.9638884215916196 0.9590810134844927 0.9556352374216144 0.9540388314767473 0.9536015806120117
0.49 0.9630081931794864 0.9575354929733007 0.9539745332893877 0.9523839323521983 0.9519419756388463
0.5 0.9619047717764369 0.955882144096267 0.9523148639308026 0.950770206027605 0.9503332006432691
0.51 0.9606502070723969 0.9542236985827597 0.95075225641157 0.9492872556978375 0.948863053542757
0.52 0.959330937635835 0.9526674059589982 0.9493804866447588 0.948019939710718 0.9476137894367002
0.53 0.9580373320588514 0.9513149771291923 0.948282082929855 0.9470402457659916 0.9466540917008993
0.54 0.9568536445083391 0.9502537910137371 0.9475205063522317 0.946400338440076 0.9460323140005386
0.55 0.9558498616500719 0.9495492114112145 0.9471341401788481 0.9461271864756544 0.9457716550358615
0.56 0.9550758703159578 0.9492385652348049 0.9471324648462359 0.9462191133493506 0.9458673899928954
0.5700000000000001 0.9545576917117644 0.9493275009039618 0.9474946729833437 0.9466450440344011 0.9462867844784641
0.58 0.9542956824118265 0.9497892421166645 0.9481707896566146 0.9473467550550149 0.9469714703688966
0.59 0.9542649673482051 0.950566847682892 0.9490850674420511 0.9482437936547663 0.9478419660661006
0.6 0.9544180641546332 0.9515779619940543 0.9501415671224978 0.949240359359052 0.9488040205374857
0.61 0.9546895180969974 0.9527213023640613 0.9512318615718974 0.9502327471057458 0.9497562819061751
0.62 0.9550021110789473 0.9538844620143869 0.9522442069740182 0.951117605463848 0.9505984790443616
0.63 0.9552740339532765 0.9549528784914469 0.953073142730686 0.9518003836038527 0.9512394451060637
0.64 0.9554264159694654 0.9558189273451125 0.953628358482703 0.9522030890304818 0.9516043769329788
0.65 0.9553907855813752 0.9563897979425259 0.9538417863045251 0.9522702822887076 0.9516407190176137
0.66 0.9551155608257866 0.9565939815864157 0.953672224078015 0.9519732962229904 0.9513222286304104
0.67 0.954570058293486 0.9563869335174146 0.9531079678687642 0.9513123683535903 0.9506508338881465
0.68 0.9537457525399213 0.9557553024728437 0.952167934447955 0.9503163899945051 0.9496561360785891
0.6900000000000001 0.9526559701446599 0.9547185288979942 0.9509005246904543 0.9490403337309861 0.9483927676441459
0.7000000000000001 0.951335281675732 0.9533273879257176 0.9493797364964665 0.9475606252810845 0.9469358092820899
0.71 0.9498384198911144 0.9516604685152549 0.9476992496296001 0.9459689029506231 0.945374659707833
0.72 0.9482378010980467 0.9498187536625722 0.9459650267907763 0.9443647737928534 0.9438059143278377
0.73 0.9466192507465911 0.9479182329889112 0.9442869903964569 0.942848119474344 0.9423258605625414
0.74 0.9450758950517236 0.9460810985750719 0.9427706979540916 0.9415116191156505 0.9410232204087847
0.75 0.9437007963855135 0.9444262722920584 0.9415097715251542 0.9404341212805905 0.9399727582461881
0.76 0.9425798194902529 0.943060303351851 0.9405795097431832 0.9396753078109299 0.9392302365706895
0.77 0.941785612975134 0.9420696752481761 0.9400319665452255 0.9392720337531744 0.9388290900220423
0.78 0.9413722484274902 0.9415149994789809 0.9398929218052114 0.9392364738391962 0.9387790470277143
0.79 0.9413706093127091 0.9414273058576849 0.9401610896677395 0.9395560874062391 0.9390666938478702
0.8 0.9417853574149573 0.9418066649405753 0.9408095023035951 0.9401957314309527 0.9396577819319576
0.81 0.9425941393196284 0.9426233028070893 0.9417885751277185 0.9411016820946778 0.9405010432460259
0.8200000000000001 0.9437493360544736 0.9438211282724521 0.9430302487980813 0.9422071208653706 0.9415333030362859
