N_iters walltime_cg f_trunc_cg walltime_approx_cg f_trunc_approx_cg walltime_trm f_trunc_trm walltime_approx_trm f_trunc_approx_trm
175 11.05240195781201 1.5841417180110414e-06 2.2289491199946907 1.4806885182200712e-06 49.42913734829509 1.1848188755398487e-06 6.028076860454532 1.2156814088286277e-06
180 11.368184870892353 1.5777762241462293e-06 2.2926333805659675 1.4806885182200712e-06 50.841398415389236 1.184682291279714e-06 6.20030762789609 1.2145747922611555e-06
185 11.683967783972696 1.5725536192337965e-06 2.3563176411372444 1.4806885182200712e-06 52.25365948248338 1.184322955625903e-06 6.372538395337648 1.2139485993459259e-06
190 11.99975069705304 1.5671038583559864e-06 2.4200019017085213 1.4806885182200712e-06 53.66592054957753 1.1835493077773156e-06 6.544769162779207 1.2136783829024739e-06
195 12.315533610133382 1.562410146253212e-06 2.483686162279798 1.4806885182200712e-06 55.07818161667167 1.1834399919465302e-06 6.716999930220765 1.2131889463710928e-06
200 12.631316523213727 1.5601760474614732e-06 2.547370422851075 1.4806885182200712e-06 56.49044268376582 1.1824002156081217e-06 6.889230697662323 1.212418306686582e-06
205 12.947099436294069 1.5561169014141252e-06 2.611054683422352 1.4806885182200712e-06 57.90270375085996 1.1793336929234697e-06 7.061461465103881 1.2113877596175566e-06
210 13.262882349374411 1.5518457194302193e-06 2.6747389439936287 1.4806885182200712e-06 59.314964817954106 1.1789327770337795e-06 7.2336922325454385 1.2088376953148038e-06
215 13.578665262454756 1.5500852283945685e-06 2.7384232045649055 1.4806885182200712e-06 60.727225885048256 1.176383293673314e-06 7.405922999986997 1.2086015020371927e-06
220 13.894448175535098 1.5465263878846275e-06 2.8021074651361824 1.4806885182200712e-06 62.1394869521424 1.1749037113145395e-06 7.578153767428555 1.2083904886145486e-06
225 14.210231088615442 1.5451445848148107e-06 2.865791725707459 1.4806885182200712e-06 63.55174801923655 1.174433570861108e-06 7.750384534870113 1.2080083349552449e-06
230 14.526014001695785 1.543431214209391e-06 2.929475986278736 1.4806885182200712e-06 64.96400908633069 1.1741936133276793e-06 7.922615302311671 1.2073907072964015e-06
235 14.841796914776127 1.5403540698014122e-06 2.993160246850013 1.4806885182200712e-06 66.37627015342484 1.1741104814368421e-06 8.09484606975323 1.2065479110722558e-06
240 15.157579827856472 1.5386742357725478e-06 3.0568445074212898 1.4806885182200712e-06 67.78853122051898 1.1739307078032102e-06 8.267076837194788 1.2039569441932263e-06
245 15.473362740936814 1.5374892396948352e-06 3.1205287679925666 1.4806885182200712e-06 69.20079228761313 1.1737661941385944e-06 8.439307604636346 1.2037424247336071e-06
250 15.789145654017158 1.5359755941972678e-06 3.1842130285638435 1.4806885182200712e-06 70.61305335470728 1.1722562551241253e-06 8.611538372077904 1.2035178086803625e-06
255 16.1049285670975 1.5332590838474979e-06 3.2478972891351203 1.4806885182200712e-06 72.02531442180141 1.1719321925515405e-06 8.783769139519462 1.2029801557939382e-06
260 16.420711480177843 1.5317542875512414e-06 3.311581549706397 1.4806885182200712e-06 73.43757548889556 1.171850213197093e-06 8.95599990696102 1.2021459700517668e-06
265 16.736494393258187 1.5306206571781044e-06 3.375265810277674 1.4806885182200712e-06 74.84983655598971 1.1717555287911622e-06 9.128230674402577 1.2015831550934068e-06
270 17.05227730633853 1.529199366713218e-06 3.438950070848951 1.4806885182200712e-06 76.26209762308386 1.1716134047837982e-06 9.300461441844135 1.2009028090636638e-06
275 17.368060219418872 1.528131784695878e-06 3.5026343314202277 1.4806885182200712e-06 77.674358690178 1.1714936715389378e-06 9.472692209285693 1.199496541255174e-06
280 17.683843132499216 1.5267799374865424e-06 3.5663185919915046 1.4806885182200712e-06 79.08661975727215 1.171219785943929e-06 9.644922976727251 1.1969856687225583e-06
